[{2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 37
[2022-03-15 01:03:20,729] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 38
[{2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 38
[2022-03-15 01:03:20,729] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 39
[{2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 39
[2022-03-15 01:03:20,729] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 40
[{2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 40
[2022-03-15 01:03:20,730] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 41
[{2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 41
[2022-03-15 01:03:20,730] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: valencia |Zipcode: 46023 | Orden del dataframe: 42
[{2164818226.py:58} INFO - Sin procesar |City: valencia |Zipcode: 46023 | Orden del dataframe: 42
[2022-03-15 01:03:20,731] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: valencia |Zipcode: 46023 | Orden del dataframe: 43
[{2164818226.py:58} INFO - Sin procesar |City: valencia |Zipcode: 46023 | Orden del dataframe: 43
[2022-03-15 01:03:20,731] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: valencia |Zipcode: 46023 | Orden del dataframe: 44
[{2164818226.py:58} INFO - Sin procesar |City: valencia |Zipcode: 46023 | Orden del dataframe: 44
[2022-03-15 01:03:20,732] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Madrid |Zipcode: 28007 | Orden del dataframe: 45
[{2164818226.py:58} INFO - Sin procesar |City: Madrid |Zipcode: 28007 | Orden del dataframe: 45
[2022-03-15 01:03:20,732] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Benetússer |Zipcode: 46910 | Orden del dataframe: 46
[{2164818226.py:58} INFO - Sin procesar |City: Benetússer |Zipcode: 46910 | Orden del dataframe: 46
[2022-03-15 01:03:20,733] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Benetússer |Zipcode: 46910 | Orden del dataframe: 47
[{2164818226.py:58} INFO - Sin procesar |City: Benetússer |Zipcode: 46910 | Orden del dataframe: 47
[2022-03-15 01:03:20,734] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Benetússer |Zipcode: 46910 | Orden del dataframe: 48
[{2164818226.py:58} INFO - Sin procesar |City: Benetússer |Zipcode: 46910 | Orden del dataframe: 48
[2022-03-15 01:03:20,734] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Benetússer |Zipcode: 46910 | Orden del dataframe: 49
[{2164818226.py:58} INFO - Sin procesar |City: Benetússer |Zipcode: 46910 | Orden del dataframe: 49
[2022-03-15 01:03:20,735] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: valencia |Zipcode: 46023 | Orden del dataframe: 50
[{2164818226.py:58} INFO - Sin procesar |City: valencia |Zipcode: 46023 | Orden del dataframe: 50
[2022-03-15 01:03:20,735] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: valencia |Zipcode: 46023 | Orden del dataframe: 51
[{2164818226.py:58} INFO - Sin procesar |City: valencia |Zipcode: 46023 | Orden del dataframe: 51
[2022-03-15 01:03:20,735] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: valencia |Zipcode: 46023 | Orden del dataframe: 52
[{2164818226.py:58} INFO - Sin procesar |City: valencia |Zipcode: 46023 | Orden del dataframe: 52
[2022-03-15 01:03:20,736] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Madrid |Zipcode: 28039 | Orden del dataframe: 53
[{2164818226.py:58} INFO - Sin procesar |City: Madrid |Zipcode: 28039 | Orden del dataframe: 53
